Fiscal Year,Plan Name,State,Employee Contribution Rate,Employer Contribution Rate,Normal Cost Rate,Amortization Rate,Total Contribution Rate
2022,"Rhode Island Employees Retirement System","Rhode Island",4.72%,25.55%,7.59%,22.68%,30.27%
2023,"Rhode Island Employees Retirement System","Rhode Island",4.64%,27.15%,7.54%,24.26%,31.80%
2014,"Rhode Island Municipal Employees Retirement System","Rhode Island",3.61%,12.10%,11.35%,4.36%,15.71%
2015,"Rhode Island Municipal Employees Retirement System","Rhode Island",3.63%,12.15%,11.53%,4.25%,15.78%
2016,"Rhode Island Municipal Employees Retirement System","Rhode Island",3.63%,13.88%,11.35%,6.16%,17.51%
2017,"Rhode Island Municipal Employees Retirement System","Rhode Island",5.09%,14.11%,11.72%,7.48%,19.20%
2018,"Rhode Island Municipal Employees Retirement System","Rhode Island",5.03%,14.01%,11.69%,7.35%,19.04%
2019,"Rhode Island Municipal Employees Retirement System","Rhode Island",4.98%,13.22%,12.45%,5.75%,18.20%
2020,"Rhode Island Municipal Employees Retirement System","Rhode Island",4.91%,13.85%,12.28%,6.48%,18.77%
2021,"Rhode Island Municipal Employees Retirement System","Rhode Island",4.92%,18.20%,12.28%,10.84%,23.13%
2022,"Rhode Island Municipal Employees Retirement System","Rhode Island",5.04%,15.93%,11.81%,9.16%,20.97%
2023,"Rhode Island Municipal Employees Retirement System","Rhode Island",5.24%,28.11%,11.86%,21.49%,33.35%
2015,"Rhode Island State Police Retirement Benefits Trust","Rhode Island",8.82%,14.45%,22.22%,1.05%,23.27%
2016,"Rhode Island State Police Retirement Benefits Trust","Rhode Island",8.79%,17.42%,21.31%,4.90%,26.21%
2017,"Rhode Island State Police Retirement Benefits Trust","Rhode Island",9.70%,19.08%,20.57%,8.21%,28.78%
2018,"Rhode Island State Police Retirement Benefits Trust","Rhode Island",9.06%,13.11%,19.79%,2.39%,22.18%
2019,"Rhode Island State Police Retirement Benefits Trust","Rhode Island",8.83%,12.38%,22.13%,−0.92%,21.21%
2020,"Rhode Island State Police Retirement Benefits Trust","Rhode Island",8.80%,14.73%,22.06%,1.47%,23.53%
2021,"Rhode Island State Police Retirement Benefits Trust","Rhode Island",8.88%,18.46%,21.91%,5.43%,27.34%
2022,"Rhode Island State Police Retirement Benefits Trust","Rhode Island",8.79%,19.82%,22.04%,6.57%,28.61%
2023,"Rhode Island State Police Retirement Benefits Trust","Rhode Island",8.76%,20.92%,21.53%,8.15%,29.68%
2014,"Sacramento County Employees' Retirement System","California",6.55%,23.79%,21.90%,8.44%,30.34%
2015,"Sacramento County Employees' Retirement System","California",7.80%,25.40%,21.23%,11.97%,33.20%
2016,"Sacramento County Employees' Retirement System","California",8.49%,22.78%,20.43%,10.84%,31.28%
2017,"Sacramento County Employees' Retirement System","California",9.33%,21.06%,20.18%,10.21%,30.39%
2018,"Sacramento County Employees' Retirement System","California",10.14%,20.13%,23.78%,6.49%,30.27%
2019,"Sacramento County Employees' Retirement System","California",11.97%,23.60%,23.45%,12.12%,35.57%
2020,"Sacramento County Employees' Retirement System","California",11.92%,25.85%,22.78%,14.99%,37.78%
2021,"Sacramento County Employees' Retirement System","California",11.66%,28.28%,25.64%,14.30%,39.94%
2022,"Sacramento County Employees' Retirement System","California",12.29%,30.01%,24.52%,17.78%,42.30%
2023,"Sacramento County Employees' Retirement System","California",11.87%,30.69%,23.03%,19.52%,42.56%
2014,"San Diego City Employees' Retirement System","California",14.16%,62.83%,25.28%,51.71%,76.99%
2015,"San Diego City Employees' Retirement System","California",11.34%,53.64%,21.56%,43.42%,64.98%
2016,"San Diego City Employees' Retirement System","California",11.39%,51.94%,22.22%,41.11%,63.33%
2017,"San Diego City Employees' Retirement System","California",12.01%,53.93%,23.02%,42.92%,65.94%
2018,"San Diego City Employees' Retirement System","California",12.55%,68.77%,24.24%,57.08%,81.32%
2019,"San Diego City Employees' Retirement System","California",13.31%,67.46%,25.89%,54.88%,80.77%
2020,"San Diego City Employees' Retirement System","California",13.66%,68.94%,26.02%,56.58%,82.60%
2021,"San Diego City Employees' Retirement System","California",12.91%,69.62%,28.88%,53.65%,82.54%
2022,"San Diego City Employees' Retirement System","California",15.75%,84.14%,27.79%,72.10%,99.89%
2023,"San Diego City Employees' Retirement System","California",56.55%,75.64%,39.23%,92.95%,132.18%
2014,"San Diego County Employees Retirement Association","California",7.03%,35.15%,24.50%,17.68%,42.18%
2015,"San Diego County Employees Retirement Association","California",8.80%,37.03%,25.62%,20.21%,45.84%
2016,"San Diego County Employees Retirement Association","California",9.17%,35.55%,26.39%,18.33%,44.72%
2017,"San Diego County Employees Retirement Association","California",9.53%,37.14%,27.27%,19.40%,46.67%
2018,"San Diego County Employees Retirement Association","California",11.40%,42.57%,26.46%,27.51%,53.96%
2019,"San Diego County Employees Retirement Association","California",11.42%,41.72%,25.69%,27.44%,53.14%
2020,"San Diego County Employees Retirement Association","California",11.17%,42.16%,26.70%,26.63%,53.33%
2021,"San Diego County Employees Retirement Association","California",11.70%,44.26%,26.36%,29.60%,55.96%
2022,"San Diego County Employees Retirement Association","California",11.31%,43.60%,25.16%,29.74%,54.91%
2023,"San Diego County Employees Retirement Association","California",11.01%,43.06%,25.64%,28.42%,54.07%
2014,"San Francisco City & County Employees' Retirement System","California",10.95%,20.18%,19.29%,11.84%,31.13%
2015,"San Francisco City & County Employees' Retirement System","California",11.43%,22.45%,19.83%,14.04%,33.87%
2016,"San Francisco City & County Employees' Retirement System","California",10.54%,17.20%,18.53%,9.21%,27.74%
2017,"San Francisco City & County Employees' Retirement System","California",10.42%,18.14%,21.18%,7.38%,28.56%
2018,"San Francisco City & County Employees' Retirement System","California",11.32%,19.22%,19.62%,10.92%,30.54%
2019,"San Francisco City & County Employees' Retirement System","California",11.29%,19.11%,20.00%,10.40%,30.40%
2020,"San Francisco City & County Employees' Retirement System","California",11.23%,20.83%,19.75%,12.31%,32.06%
2021,"San Francisco City & County Employees' Retirement System","California",11.30%,23.08%,19.83%,14.55%,34.38%
2022,"San Francisco City & County Employees' Retirement System","California",11.32%,20.53%,20.88%,10.96%,31.85%
2023,"San Francisco City & County Employees' Retirement System","California",10.36%,16.84%,20.38%,6.83%,27.20%
2014,"Seattle Employees' Retirement System","Washington",10.14%,14.26%,14.90%,9.50%,24.40%
2015,"Seattle Employees' Retirement System","Washington",10.25%,15.76%,15.65%,10.37%,26.01%
2016,"Seattle Employees' Retirement System","Washington",10.13%,15.31%,15.02%,10.41%,25.43%
2017,"Seattle Employees' Retirement System","Washington",10.04%,15.29%,15.37%,9.96%,25.33%
2018,"Seattle Employees' Retirement System","Washington",9.79%,15.12%,13.67%,11.25%,24.91%
2019,"Seattle Employees' Retirement System","Washington",9.58%,15.17%,13.61%,11.15%,24.75%
2020,"Seattle Employees' Retirement System","Washington",9.46%,16.13%,13.50%,12.08%,25.58%
2021,"Seattle Employees' Retirement System","Washington",9.44%,16.14%,14.67%,10.92%,25.59%
2022,"Seattle Employees' Retirement System","Washington",9.20%,16.12%,14.22%,11.10%,25.33%
2014,"Sioux Falls City Employee's Retirement System (CERS)","South Dakota",5.78%,20.78%,16.74%,9.82%,26.56%
2015,"Sioux Falls City Employee's Retirement System (CERS)","South Dakota",6.75%,23.15%,16.83%,13.08%,29.91%
2016,"Sioux Falls City Employee's Retirement System (CERS)","South Dakota",6.64%,23.42%,17.45%,12.60%,30.06%
2017,"Sioux Falls City Employee's Retirement System (CERS)","South Dakota",6.72%,25.10%,17.58%,14.24%,31.83%
2018,"Sioux Falls City Employee's Retirement System (CERS)","South Dakota",6.81%,25.12%,18.13%,13.79%,31.93%
2019,"Sioux Falls City Employee's Retirement System (CERS)","South Dakota",6.49%,22.53%,18.14%,10.89%,29.03%
2020,"Sioux Falls City Employee's Retirement System (CERS)","South Dakota",6.69%,22.98%,18.07%,11.60%,29.67%
2021,"Sioux Falls City Employee's Retirement System (CERS)","South Dakota",6.17%,24.25%,18.05%,12.36%,30.41%
2022,"Sioux Falls City Employee's Retirement System (CERS)","South Dakota",6.77%,26.30%,17.06%,16.01%,33.07%
2023,"Sioux Falls City Employee's Retirement System (CERS)","South Dakota",6.64%,24.10%,16.99%,13.75%,30.74%
2014,"Sioux Falls City Firefighters' Pension Fund (CFPF)","South Dakota",9.69%,37.48%,26.50%,20.67%,47.17%
2015,"Sioux Falls City Firefighters' Pension Fund (CFPF)","South Dakota",10.24%,39.40%,27.17%,22.48%,49.64%
2016,"Sioux Falls City Firefighters' Pension Fund (CFPF)","South Dakota",10.18%,38.39%,28.08%,20.50%,48.58%
2017,"Sioux Falls City Firefighters' Pension Fund (CFPF)","South Dakota",10.41%,40.89%,28.10%,23.21%,51.30%
2018,"Sioux Falls City Firefighters' Pension Fund (CFPF)","South Dakota",10.09%,37.94%,28.82%,19.21%,48.04%
2019,"Sioux Falls City Firefighters' Pension Fund (CFPF)","South Dakota",10.07%,33.40%,28.83%,14.64%,43.47%
2020,"Sioux Falls City Firefighters' Pension Fund (CFPF)","South Dakota",10.74%,33.52%,28.89%,15.37%,44.27%
2021,"Sioux Falls City Firefighters' Pension Fund (CFPF)","South Dakota",10.01%,34.20%,28.71%,15.49%,44.20%
2022,"Sioux Falls City Firefighters' Pension Fund (CFPF)","South Dakota",10.09%,35.51%,26.98%,18.62%,45.60%
2023,"Sioux Falls City Firefighters' Pension Fund (CFPF)","South Dakota",10.11%,31.94%,26.98%,15.07%,42.05%
2014,"South Carolina Police Officers Retirement System","South Carolina",9.29%,15.06%,14.48%,9.87%,24.35%
2015,"South Carolina Police Officers Retirement System","South Carolina",9.92%,15.46%,14.31%,11.07%,25.38%
2016,"South Carolina Police Officers Retirement System","South Carolina",10.42%,15.85%,14.16%,12.10%,26.26%
2017,"South Carolina Police Officers Retirement System","South Carolina",10.77%,16.17%,14.04%,12.90%,26.94%
2018,"South Carolina Police Officers Retirement System","South Carolina",10.98%,17.80%,14.61%,14.17%,28.78%
2019,"South Carolina Police Officers Retirement System","South Carolina",11.08%,19.15%,14.49%,15.74%,30.23%
2020,"South Carolina Police Officers Retirement System","South Carolina",11.02%,20.00%,14.42%,16.59%,31.01%
2021,"South Carolina Police Officers Retirement System","South Carolina",10.56%,19.09%,14.35%,15.30%,29.65%
2022,"South Carolina Police Officers Retirement System","South Carolina",11.40%,21.25%,15.20%,17.45%,32.65%
2023,"South Carolina Police Officers Retirement System","South Carolina",11.83%,23.45%,15.12%,20.16%,35.28%
2014,"South Carolina Retirement System for Judges and Solicitors","South Carolina",12.00%,47.33%,27.30%,32.03%,59.33%
2015,"South Carolina Retirement System for Judges and Solicitors","South Carolina",15.15%,48.56%,27.67%,36.04%,63.71%
2016,"South Carolina Retirement System for Judges and Solicitors","South Carolina",10.83%,47.97%,27.68%,31.12%,58.80%
2017,"South Carolina Retirement System for Judges and Solicitors","South Carolina",13.34%,47.97%,28.17%,33.14%,61.31%
2018,"South Carolina Retirement System for Judges and Solicitors","South Carolina",13.50%,49.42%,29.18%,33.74%,62.92%
2019,"South Carolina Retirement System for Judges and Solicitors","South Carolina",12.71%,52.49%,29.74%,35.46%,65.20%
2020,"South Carolina Retirement System for Judges and Solicitors","South Carolina",16.36%,72.49%,29.39%,59.47%,88.86%
2021,"South Carolina Retirement System for Judges and Solicitors","South Carolina",11.82%,72.50%,28.73%,55.58%,84.31%
2022,"South Carolina Retirement System for Judges and Solicitors","South Carolina",9.68%,72.26%,30.59%,51.36%,81.95%
2023,"South Carolina Retirement System for Judges and Solicitors","South Carolina",13.22%,71.99%,30.56%,54.65%,85.21%
2014,"South Carolina Retirement Systems","South Carolina",8.78%,12.95%,9.94%,11.79%,21.73%
2015,"South Carolina Retirement Systems","South Carolina",9.50%,13.56%,9.87%,13.19%,23.06%
2016,"South Carolina Retirement Systems","South Carolina",9.71%,13.81%,9.83%,13.69%,23.52%
2017,"South Carolina Retirement Systems","South Carolina",10.06%,14.23%,9.79%,14.51%,24.30%
2018,"South Carolina Retirement Systems","South Carolina",10.11%,16.36%,10.60%,15.87%,26.47%
2019,"South Carolina Retirement Systems","South Carolina",9.59%,16.76%,10.54%,15.81%,26.35%
2020,"South Carolina Retirement Systems","South Carolina",9.95%,18.73%,10.52%,18.16%,28.68%
2021,"South Carolina Retirement Systems","South Carolina",9.52%,18.00%,10.51%,17.01%,27.52%
2022,"South Carolina Retirement Systems","South Carolina",9.91%,19.88%,10.77%,19.02%,29.79%
2023,"South Carolina Retirement Systems","South Carolina",9.93%,21.31%,10.74%,20.50%,31.24%
2014,"South Dakota Retirement System","South Dakota",6.30%,6.22%,9.59%,2.93%,12.53%
2015,"South Dakota Retirement System","South Dakota",6.26%,6.23%,10.20%,2.29%,12.50%
2016,"South Dakota Retirement System","South Dakota",6.25%,6.24%,10.11%,2.38%,12.49%
2017,"South Dakota Retirement System","South Dakota",6.25%,6.24%,9.86%,2.63%,12.49%
2018,"South Dakota Retirement System","South Dakota",6.21%,6.23%,11.12%,1.31%,12.44%
2019,"South Dakota Retirement System","South Dakota",6.22%,6.23%,11.41%,1.04%,12.45%
2020,"South Dakota Retirement System","South Dakota",6.22%,6.22%,11.21%,1.23%,12.44%
2021,"South Dakota Retirement System","South Dakota",6.23%,6.23%,10.47%,1.99%,12.46%
2022,"South Dakota Retirement System","South Dakota",6.22%,6.23%,11.31%,1.14%,12.45%
2023,"South Dakota Retirement System","South Dakota",6.19%,6.23%,11.08%,1.35%,12.43%
2023,"St Louis Firemen's Retirement System","Missouri",0.00%,15.45%,10.84%,4.61%,15.45%
2014,"St Louis Police Retirement System","Missouri",6.52%,47.49%,19.09%,34.92%,54.01%
2015,"St Louis Police Retirement System","Missouri",6.21%,42.31%,17.94%,30.57%,48.51%
2016,"St Louis Police Retirement System","Missouri",6.02%,42.35%,17.36%,31.01%,48.37%
2017,"St Louis Police Retirement System","Missouri",6.11%,44.43%,23.62%,26.91%,50.54%
2018,"St Louis Police Retirement System","Missouri",6.69%,43.16%,21.34%,28.50%,49.84%
2019,"St Louis Police Retirement System","Missouri",6.34%,43.60%,19.01%,30.94%,49.94%
2020,"St Louis Police Retirement System","Missouri",7.47%,42.76%,22.01%,28.21%,50.22%
2021,"St Louis Police Retirement System","Missouri",7.10%,39.53%,24.66%,21.97%,46.63%
2022,"St Louis Police Retirement System","Missouri",6.68%,48.19%,21.16%,33.71%,54.87%
2023,"St Louis Police Retirement System","Missouri",6.19%,51.96%,20.73%,37.42%,58.15%
2014,"St. Louis Employees","Missouri",0.06%,16.20%,4.67%,11.60%,16.26%
2015,"St. Louis Employees","Missouri",0.13%,15.51%,5.72%,9.92%,15.64%
2016,"St. Louis Employees","Missouri",0.00%,13.54%,5.77%,7.77%,13.54%
2017,"St. Louis Employees","Missouri",0.06%,12.43%,5.50%,6.98%,12.49%
2018,"St. Louis Employees","Missouri",0.02%,12.24%,5.56%,6.70%,12.26%
2019,"St. Louis Employees","Missouri",0.06%,12.31%,5.35%,7.02%,12.37%
2020,"St. Louis Employees","Missouri",0.06%,12.45%,5.30%,7.22%,12.52%
2021,"St. Louis Employees","Missouri",0.07%,13.68%,5.19%,8.56%,13.75%
2022,"St. Louis Employees","Missouri",0.04%,15.41%,4.91%,10.55%,15.45%
2023,"St. Louis Employees","Missouri",0.03%,15.88%,4.83%,11.08%,15.91%
2014,"St. Paul Teachers Retirement Fund","Minnesota",6.38%,13.55%,8.52%,11.41%,19.93%
2015,"St. Paul Teachers Retirement Fund","Minnesota",6.66%,13.91%,9.13%,11.44%,20.57%
2016,"St. Paul Teachers Retirement Fund","Minnesota",7.16%,14.39%,8.87%,12.68%,21.55%
2017,"St. Paul Teachers Retirement Fund","Minnesota",7.62%,14.51%,8.93%,13.20%,22.13%
2018,"St. Paul Teachers Retirement Fund","Minnesota",7.64%,14.90%,8.26%,14.28%,22.54%
2019,"St. Paul Teachers Retirement Fund","Minnesota",7.68%,17.49%,8.24%,16.93%,25.17%
2020,"St. Paul Teachers Retirement Fund","Minnesota",7.61%,18.13%,8.27%,17.47%,25.74%
2021,"St. Paul Teachers Retirement Fund","Minnesota",7.62%,18.19%,8.24%,17.57%,25.81%
2022,"St. Paul Teachers Retirement Fund","Minnesota",7.59%,17.99%,8.34%,17.24%,25.58%
2023,"St. Paul Teachers Retirement Fund","Minnesota",7.56%,18.43%,9.72%,16.27%,25.99%
2014,"State Police Retirement System of Louisiana","Louisiana",8.40%,84.02%,25.78%,66.64%,92.42%
2015,"State Police Retirement System of Louisiana","Louisiana",8.43%,83.24%,27.11%,64.55%,91.66%
2016,"State Police Retirement System of Louisiana","Louisiana",8.66%,68.73%,26.55%,50.84%,77.39%
2017,"State Police Retirement System of Louisiana","Louisiana",8.65%,58.45%,24.25%,42.85%,67.09%
2018,"State Police Retirement System of Louisiana","Louisiana",8.67%,54.97%,25.03%,38.61%,63.64%
2019,"State Police Retirement System of Louisiana","Louisiana",8.64%,50.52%,29.58%,29.57%,59.15%
2020,"State Police Retirement System of Louisiana","Louisiana",8.68%,52.31%,27.75%,33.24%,60.99%
2021,"State Police Retirement System of Louisiana","Louisiana",8.67%,55.97%,28.27%,36.37%,64.64%
2022,"State Police Retirement System of Louisiana","Louisiana",8.81%,66.16%,29.17%,45.79%,74.97%
2023,"State Police Retirement System of Louisiana","Louisiana",9.16%,70.71%,28.82%,51.05%,79.87%
2014,"Teachers’ Retirement System of Louisiana","Louisiana",8.66%,32.20%,12.29%,28.57%,40.86%
2015,"Teachers’ Retirement System of Louisiana","Louisiana",8.52%,32.89%,12.05%,29.36%,41.40%
2016,"Teachers’ Retirement System of Louisiana","Louisiana",8.55%,30.91%,11.41%,28.04%,39.46%
2017,"Teachers’ Retirement System of Louisiana","Louisiana",8.42%,29.76%,11.96%,26.22%,38.18%
2018,"Teachers’ Retirement System of Louisiana","Louisiana",8.45%,31.05%,11.83%,27.67%,39.50%
2019,"Teachers’ Retirement System of Louisiana","Louisiana",8.38%,30.90%,10.80%,28.48%,39.28%
2020,"Teachers’ Retirement System of Louisiana","Louisiana",8.31%,29.93%,10.74%,27.49%,38.24%
2021,"Teachers’ Retirement System of Louisiana","Louisiana",8.34%,29.59%,10.81%,27.13%,37.94%
2022,"Teachers’ Retirement System of Louisiana","Louisiana",8.32%,28.87%,10.62%,26.58%,37.20%
2023,"Teachers’ Retirement System of Louisiana","Louisiana",8.27%,28.09%,10.55%,25.82%,36.37%
2014,"Teachers' Retirement System of the City of New York","New York",1.87%,36.91%,14.57%,24.22%,38.79%
2015,"Teachers' Retirement System of the City of New York","New York",1.96%,41.19%,15.15%,28.00%,43.15%
2016,"Teachers' Retirement System of the City of New York","New York",2.10%,45.55%,15.43%,32.22%,47.65%
2017,"Teachers' Retirement System of the City of New York","New York",2.04%,44.74%,15.72%,31.06%,46.79%
2018,"Teachers' Retirement System of the City of New York","New York",2.12%,42.93%,15.62%,29.44%,45.05%
2019,"Teachers' Retirement System of the City of New York","New York",2.09%,36.13%,16.25%,21.96%,38.22%
2020,"Teachers' Retirement System of the City of New York","New York",2.08%,33.50%,14.27%,21.31%,35.58%
2021,"Teachers' Retirement System of the City of New York","New York",2.21%,28.50%,14.18%,16.54%,30.71%
2022,"Teachers' Retirement System of the City of New York","New York",2.39%,29.33%,14.18%,17.54%,31.72%
2023,"Teachers' Retirement System of the City of New York","New York",2.47%,26.59%,14.03%,15.03%,29.06%
2015,"Tennesee State and Teachers' Retirement Plan","Tennessee",3.09%,11.53%,9.05%,5.56%,14.61%
2016,"Tennesee State and Teachers' Retirement Plan","Tennessee",3.26%,10.76%,8.85%,5.17%,14.02%
2017,"Tennesee State and Teachers' Retirement Plan","Tennessee",3.37%,10.35%,8.72%,4.99%,13.72%
2018,"Tennesee State and Teachers' Retirement Plan","Tennessee",3.48%,10.89%,8.48%,5.89%,14.37%
2019,"Tennesee State and Teachers' Retirement Plan","Tennessee",3.56%,10.94%,8.46%,6.03%,14.50%
2020,"Tennesee State and Teachers' Retirement Plan","Tennessee",3.64%,10.62%,8.34%,5.92%,14.26%
2021,"Tennesee State and Teachers' Retirement Plan","Tennessee",3.73%,10.18%,9.39%,4.51%,13.91%
2022,"Tennesee State and Teachers' Retirement Plan","Tennessee",3.82%,12.74%,9.08%,7.48%,16.56%
2014,"Texas County and District Retirement System","Texas",6.63%,11.84%,13.82%,4.65%,18.47%
2015,"Texas County and District Retirement System","Texas",6.78%,12.14%,13.54%,5.37%,18.91%
2016,"Texas County and District Retirement System","Texas",6.78%,12.10%,14.00%,4.88%,18.88%
2017,"Texas County and District Retirement System","Texas",6.79%,12.33%,13.00%,6.13%,19.13%
2018,"Texas County and District Retirement System","Texas",6.79%,12.57%,13.00%,6.35%,19.35%
2019,"Texas County and District Retirement System","Texas",6.79%,12.79%,13.00%,6.58%,19.58%
2020,"Texas County and District Retirement System","Texas",6.78%,13.08%,15.00%,4.86%,19.86%
2021,"Texas County and District Retirement System","Texas",6.78%,13.24%,14.00%,6.02%,20.02%
2022,"Texas County and District Retirement System","Texas",6.79%,13.86%,14.00%,6.65%,20.65%
2014,"Texas Employees Retirement System","Texas",7.23%,8.10%,19.13%,−3.81%,15.33%
2015,"Texas Employees Retirement System","Texas",7.51%,8.14%,20.02%,−4.37%,15.65%
2016,"Texas Employees Retirement System","Texas",10.01%,10.19%,17.01%,3.18%,20.19%
2017,"Texas Employees Retirement System","Texas",9.99%,10.21%,21.24%,−1.05%,20.20%
2018,"Texas Employees Retirement System","Texas",10.04%,10.23%,21.22%,−0.95%,20.28%
2019,"Texas Employees Retirement System","Texas",10.00%,10.26%,19.39%,0.87%,20.26%
2020,"Texas Employees Retirement System","Texas",9.97%,10.28%,25.53%,−5.28%,20.25%
2021,"Texas Employees Retirement System","Texas",9.99%,10.29%,29.86%,−9.58%,20.28%
2022,"Texas Employees Retirement System","Texas",10.01%,17.48%,13.67%,13.82%,27.50%
2023,"Texas Employees Retirement System","Texas",9.65%,28.07%,13.07%,24.65%,37.72%
2014,"Texas Judicial Retirement System Plan 2","Texas",6.71%,15.77%,22.99%,−0.52%,22.48%
2015,"Texas Judicial Retirement System Plan 2","Texas",7.05%,16.07%,20.96%,2.17%,23.12%
2016,"Texas Judicial Retirement System Plan 2","Texas",7.35%,15.81%,24.83%,−1.66%,23.16%
2017,"Texas Judicial Retirement System Plan 2","Texas",7.70%,15.98%,26.12%,−2.44%,23.68%
2018,"Texas Judicial Retirement System Plan 2","Texas",7.54%,15.94%,20.38%,3.10%,23.49%
2019,"Texas Judicial Retirement System Plan 2","Texas",8.11%,16.43%,20.59%,3.95%,24.54%
2020,"Texas Judicial Retirement System Plan 2","Texas",9.75%,16.02%,32.70%,−6.94%,25.76%
2021,"Texas Judicial Retirement System Plan 2","Texas",9.78%,15.99%,41.79%,−16.02%,25.77%
2022,"Texas Judicial Retirement System Plan 2","Texas",9.53%,15.98%,34.93%,−9.43%,25.50%
2023,"Texas Judicial Retirement System Plan 2","Texas",9.63%,16.02%,32.16%,−6.51%,25.65%
2014,"Texas Municipal Retirement System","Texas",6.61%,13.39%,14.47%,5.54%,20.01%
2015,"Texas Municipal Retirement System","Texas",6.62%,13.23%,14.47%,5.37%,19.84%
2016,"Texas Municipal Retirement System","Texas",6.63%,13.05%,14.47%,5.21%,19.68%
2017,"Texas Municipal Retirement System","Texas",6.63%,13.55%,14.47%,5.71%,20.18%
2018,"Texas Municipal Retirement System","Texas",6.64%,13.68%,14.47%,5.85%,20.32%
2019,"Texas Municipal Retirement System","Texas",6.68%,13.70%,14.47%,5.91%,20.38%
2020,"Texas Municipal Retirement System","Texas",6.69%,16.64%,14.47%,8.86%,23.33%
2021,"Texas Municipal Retirement System","Texas",6.70%,14.66%,14.47%,6.89%,21.36%
2022,"Texas Municipal Retirement System","Texas",6.71%,14.50%,14.47%,6.74%,21.21%
2014,"Texas Teacher Retirement System","Texas",6.43%,6.86%,10.97%,2.32%,13.29%
2015,"Texas Teacher Retirement System","Texas",6.70%,7.72%,10.99%,3.43%,14.42%
2016,"Texas Teacher Retirement System","Texas",7.23%,7.75%,10.78%,4.20%,14.98%
2017,"Texas Teacher Retirement System","Texas",7.70%,7.80%,10.66%,4.84%,15.50%
2018,"Texas Teacher Retirement System","Texas",7.70%,7.76%,10.66%,4.80%,15.46%
2019,"Texas Teacher Retirement System","Texas",7.70%,7.74%,12.47%,2.96%,15.44%
2020,"Texas Teacher Retirement System","Texas",7.70%,7.96%,11.65%,4.01%,15.66%
2021,"Texas Teacher Retirement System","Texas",7.70%,8.55%,11.62%,4.63%,16.25%
2022,"Texas Teacher Retirement System","Texas",8.00%,8.84%,11.57%,5.27%,16.84%
2023,"Texas Teacher Retirement System","Texas",8.00%,9.15%,12.09%,5.06%,17.15%
2014,"Tri-County Metro Of Oregon Bargaining Unit Defined Benefit Plan","Oregon",0.00%,37.90%,9.15%,28.75%,37.90%
2015,"Tri-County Metro Of Oregon Bargaining Unit Defined Benefit Plan","Oregon",0.00%,31.06%,10.09%,20.97%,31.06%
2016,"Tri-County Metro Of Oregon Bargaining Unit Defined Benefit Plan","Oregon",0.00%,32.32%,9.10%,23.22%,32.32%
2017,"Tri-County Metro Of Oregon Bargaining Unit Defined Benefit Plan","Oregon",0.00%,33.64%,10.18%,23.46%,33.64%
2018,"Tri-County Metro Of Oregon Bargaining Unit Defined Benefit Plan","Oregon",0.00%,32.05%,8.98%,23.06%,32.05%
2019,"Tri-County Metro Of Oregon Bargaining Unit Defined Benefit Plan","Oregon",0.00%,35.64%,9.90%,25.74%,35.64%
2020,"Tri-County Metro Of Oregon Bargaining Unit Defined Benefit Plan","Oregon",0.00%,41.91%,9.63%,32.28%,41.91%
2021,"Tri-County Metro Of Oregon Bargaining Unit Defined Benefit Plan","Oregon",0.00%,40.61%,9.76%,30.86%,40.61%
2022,"Tri-County Metro Of Oregon Bargaining Unit Defined Benefit Plan","Oregon",0.00%,7.70%,9.94%,−2.24%,7.70%
2023,"Tri-County Metro Of Oregon Bargaining Unit Defined Benefit Plan","Oregon",0.00%,68.85%,10.67%,58.18%,68.85%
2015,"Tri-County Metro Of Oregon Management Defined Benefit Plan","Oregon",0.00%,51.44%,3.96%,47.48%,51.44%
2016,"Tri-County Metro Of Oregon Management Defined Benefit Plan","Oregon",0.00%,55.31%,9.62%,45.68%,55.31%
2017,"Tri-County Metro Of Oregon Management Defined Benefit Plan","Oregon",0.00%,59.76%,10.97%,48.79%,59.76%
2018,"Tri-County Metro Of Oregon Management Defined Benefit Plan","Oregon",0.00%,68.78%,9.73%,59.05%,68.78%
2019,"Tri-County Metro Of Oregon Management Defined Benefit Plan","Oregon",0.00%,75.37%,8.28%,67.09%,75.37%
2020,"Tri-County Metro Of Oregon Management Defined Benefit Plan","Oregon",0.00%,28.71%,8.03%,20.68%,28.71%
2021,"Tri-County Metro Of Oregon Management Defined Benefit Plan","Oregon",0.00%,78.47%,7.95%,70.52%,78.47%
2022,"Tri-County Metro Of Oregon Management Defined Benefit Plan","Oregon",0.00%,7.00%,7.34%,−0.34%,7.00%
2014,"Tucson Supplemental Retirement System","Arizona",5.79%,27.00%,11.71%,21.09%,32.79%
2015,"Tucson Supplemental Retirement System","Arizona",6.10%,27.54%,12.77%,20.88%,33.64%
2016,"Tucson Supplemental Retirement System","Arizona",6.15%,28.80%,12.40%,22.56%,34.95%
2017,"Tucson Supplemental Retirement System","Arizona",6.36%,27.20%,11.22%,22.33%,33.56%
2018,"Tucson Supplemental Retirement System","Arizona",7.41%,27.50%,11.33%,23.57%,34.91%
2019,"Tucson Supplemental Retirement System","Arizona",6.56%,27.50%,11.92%,22.14%,34.06%
2020,"Tucson Supplemental Retirement System","Arizona",6.12%,27.34%,11.50%,21.96%,33.46%
2021,"Tucson Supplemental Retirement System","Arizona",5.61%,24.93%,10.72%,19.83%,30.54%
